Company Name,Laptop Name,RAM (GB),Storage Type,Storage Size (GB),Processor Company,Processor Details,Graphics Card (GB),GPU Details,Weight (kg),Screen Size (inches),OS,Laptop Type,Price (INR),,,,,,,,,,,,,
Acer,Travelmate,8,HDD,1024,Intel,10th Gen i5,Integrated,Intel® UHD Graphics,1.6,14,Windows,Notebook,76299,,,,,,,,,,,,,
Acer,Extensa 15,8,HDD,1024,Intel,10th Gen i3,Integrated,Intel® UHD Graphics,1.9,15.6,Windows,Notebook,34990,,,,,,,,,,,,,
Acer,Spin 3,8,SSD,256,Intel,10th Gen i3,Integrated,Intel® UHD Graphics,1.5,15.6,Windows,Notebook,54999,,,,,,,,,,,,,
Acer,Extensa 15,4,HDD,1024,Intel,10th Gen i3,Integrated,Intel® UHD Graphics,1.9,,Windows,Notebook,31490,,,,,,,,,,,,,
Acer,Aspire 3,4,HDD,1024,Intel,10th Gen i3,Integrated,Intel® UHD Graphics,1.9,15.6,Windows,Notebook,32990,,,,,,,,,,,,,
Acer,Travelmate,4,HDD,1024,Intel,10th Gen i3,Integrated,Intel® UHD Graphics,1.6,14,Windows,Notebook,68950,,,,,,,,,,,,,
HP,14s dr1009tu,8,SSD,512,Intel,10th Gen i5,Integrated,Intel UHD Graphics,1.46,14,Windows,Notebook,58477,,,,,,,,,,,,,
HP,14q cs0006tu,4,HDD,1024,Intel,7th Gen i3,Integrated,Intel UHD Graphics,1.59,14,Windows,Notebook,32696,,,,,,,,,,,,,
HP,14a na0003tu,4,SSD,64+256,Intel,Celeron,Integrated,Intel UHD Graphics,1.46,14,Chrome OS,Chromebook,31000,,,,,,,,,,,,,
HP,15q ds3001tu,8,HDD,1024,Intel,10th Gen i3,Integrated,Intel UHD Graphics,1.85,15.6,Windows,Notebook,38926,,,,,,,,,,,,,
ASUS,Zenbook 14,16,SSD,512,Intel,10th Gen i7,Integrated,Intel Iris plus,1.17,14,Windows,Notebook,109490,,,,,,,,,,,,,
ASUS,Zenbook 13,16,SSD,1024,Intel,10th Gen i7,Integrated,Intel Iris plus,1.11,14,Windows,Notebook,109490,,,,,,,,,,,,,
HP,15s eq1042au,4,SSD,512,AMD,Ryzen 3 3250U,Integrated,AMD Radeon,1.69,15.6,Windows,Notebook,38600,,,,,,,,,,,,,
HP,15s du2002tu,8,HDD,1024,Intel,10th Gen i3,Integrated,Intel UHD Graphics,1.75,15,Windows,Notebook,41970,,,,,,,,,,,,,
HP,Pavilion 14 dh1178tu,8,SSD,512,Intel,10th Gen i3,Integrated,Intel UHD Graphics,1.58,14,Windows,Notebook,54989,,,,,,,,,,,,,
HP,14s cf3074tu,8,SSD,256,Intel,10th Gen i3,Integrated,Intel UHD Graphics,1.47,14,Windows,Notebook,38415,,,,,,,,,,,,,
